name
TensorFlow
PyTorch
scikit-learn
Spark ML
Spark MLib
Spark MLlib
Torch
Huggingface
Keras
AutoML
Microsoft Cognitive Toolkit
Caffe
Theano
OpenCV
Apache Spark
spacy
Chainer
fastText
Dlib
Theano
Scipy
Scikit-learn
Pandas
Matplotlib
Plotly
NLTK
Natural Language Toolkit (NLTK)
Natural Language Toolkit
MlPack
MXNet
spaCy
Docker
Docker Container
