name
Alibaba Cloud (1 P)
Amazon Web Services (42 P)
Cloud databases (11 P)
Google Cloud (20 P)
IBM cloud services (13 P)
"Microsoft cloud services (1 C, 25 P)"
Open-source cloud hosting services (3 P)
Oracle Cloud Services (4 P)
Cloud communication platforms (18 P)
Airpush
Alibaba Cloud
Amazon Elastic Compute Cloud
Amazon Elastic File System
Amazon ElastiCache
Amazon Simple Queue Service
Amazon Web Services
Animoto
Apache CloudStack
AppScale
Aptum Technologies
AWS Elastic Beanstalk
Azure Data Lake
Azure Stream Analytics
BioBIKE
BOSH (software)
Bytemark
CallFire
Caspio
Cisco Unified Computing System
Citrix Cloud
Cloud Foundry
Cloud-computing comparison
CloudBees
CloudControl
CloudSim
CloudSNAP
Cocaine (PaaS)
CONSELF
Densify
DigitalOcean
Dimension Data
DivvyCloud
DreamHost
E2open
Engine Yard
ENlight Cloud
Enstratius
Eucalyptus (software)
Fabasoft Folio Cloud
Fastly
Firebase
FUJITSU Cloud IaaS Trusted Public S5
Function as a service
Gigas (company)
Google App Engine
Google Cloud Platform
Google Cloud Storage
Google Compute Engine
Google Container Engine
GreenButton
GT Nexus
Hammerkit
HCentive
Heroku
HP Cloud
HP CloudSystem
HPE Helion
Hybrid Web Cluster
IBM Cloud
IBM cloud computing
IBM/Google Cloud Computing University Initiative
IEEE Cloud Computing
IM Creator
Apache Impala
MindSphere
Jelastic
Kii Corporation
Kong Inc.
Magine
Microsoft Azure
Microsoft Teams
Moai (software)
NearlyFreeSpeech
Nebula (computing platform)
Netlify
Netskope
Ninefold
NIWA Cloud Application Platform
Onepager
OpenShift
Oracle Cloud
Oracle Cloud Platform
Oracle Enterprise Resource Planning Cloud
OrionVM
OutSystems
Perforce
Platform as a service
Presto (SQL query engine)
Rackspace Cloud
Rapyuta
RCUDA
Rollbase
Safe Swiss Cloud
SAP Cloud Platform
SAP Converged Cloud
SAP ERP
SAP S/4HANA
Scaleway
SimScale
Squarespace
Stratoscale
Strikingly
Sun Cloud
TradeCard
Turbot (business)
UK Government G-Cloud
VCloud Air
Verizon Business
Vertebra (software)
WaveMaker
Wolf Frameworks
Xively
Yandex.Cloud
Yottabyte LLC
Alibaba Cloud
Amazon Alexa
Amazon Web Services
Timeline of Amazon Web Services
Amazon Lumberyard
Amazon Polly
Amazon SageMaker
Amazon Storywriter
Amazon Machine Image
Amazon Aurora
Amazon Auto-scaling
AWS Ground Station unit
AWS CloudFormation
Amazon CloudFront
Amazon CloudWatch
Densify
Amazon DocumentDB
Amazon DynamoDB
Amazon Elastic Block Store
Amazon EC2
Amazon Elastic Compute Cloud
AWS Elastic Beanstalk
Amazon Elastic File System
Elastic Load Balancing
Amazon ElastiCache
Firecracker (software)
FreeRTOS
Amazon S3 Glacier
Amazon Glue
AWS Lambda
Amazon Neptune
AWS OpsWorks
Amazon Relational Database Service
Amazon Redshift
Amazon Rekognition
Amazon Route 53
Amazon S3
Amazon SimpleDB
Amazon Simple Notification Service
Sqrrl
Amazon Simple Queue Service
Stackdriver
Amazon Virtual Private Cloud
Cloud database
Amazon Aurora
Amazon DocumentDB
Amazon DynamoDB
Amazon ElastiCache
Amazon Neptune
Amazon Relational Database Service
Amazon Redshift
Amazon SimpleDB
Silk Platform
Snowflake Inc.
Apigee
AppSheet
Bitium
Chronicle Security
Google Cloud Connect
Google Cloud Datastore
Google Cloud Messaging
Google Cloud Platform
Google Cloud Print
Google Cloud Dataflow
Firebase
Firebase Cloud Messaging
Google Hangouts
Kaggle
Looker (company)
Mandiant
Google Meet
Orbitera
Project Nightingale
Google Workspace
IBM Blueworks Live
Cloudant
DemandTec
IBM cloud computing
IBM Cloud Video
IBM Quantum Experience
IBM/Google Cloud Computing University Initiative
LotusLive
MaaS 360
Silverpop
SoftLayer
Watson (computer)
Weather Underground (weather service)
Office 365 (3 P)
Azure AD Connect
Azure Cognitive Search
Azure Data Lake
Azure Kinect
Microsoft Azure SQL Database
Azure Stream Analytics
Azure Virtual Desktop
Azure Web Apps
Cosmos DB
Groove Music
Microsoft 365
Microsoft Advertising
Microsoft Azure
Microsoft Azure Active Directory
Microsoft Dynamics 365
Microsoft Dynamics 365 Finance
Microsoft Intune
Microsoft To Do
My Phone
My Windows Phone
Spotify
StorSimple
System Center Advisor
Windows Azure Caching
Xbox Cloud Gaming
BOSH (software)
Cloud Foundry
OpenShift
Oracle Cloud
Oracle Cloud Platform
Oracle Database
VirtualBox
Bandwidth (company)
CallFire
Cloud communications
CM (commerce)
Exotel
Hoiio
Kaleyra
Kii Corporation
Leaf (payment platform)
MegaPath
OnForce
RingCentral
Route Mobile
Sinch (company)
Snappii
Twilio
Unleashed Software
Voxeo
